"","animalid","Sex","Neutered","Breed","CauseDeath","Method.of.death","dateBirth","dateDeath"
"4772",6913783,"Female","Neutered","English Springer Spaniel","Neoplasia","Euthanasia",2009-05-09,2017-11-06
"4781",12419995,"Male","Entire","Chihuahua","Disorder not diagnsosed","Euthanasia",2010-01-11,2018-10-08
"4784",12436323,"Female","Neutered","Border Terrier","Musculoskeletal disorder","Euthanasia",2009-01-04,2017-09-01
"4786",11598812,"Male","Neutered","Kerry Blue Terrier","Behaviour disorder","Euthanasia",2009-01-11,2017-11-08
"4789",11441106,"Male","Neutered","Labrador Retriever","Lymph node disorder","Euthanasia",2008-01-08,2016-12-05
"4830",7014644,"Female","Neutered","Jack Russell Terrier","Disorder not diagnsosed","Euthanasia",2008-12-12,2016-05-10
"4833",3843035,"Male","Entire","Crossbreed","Neurological disorder","Euthanasia",2008-07-08,2016-01-06
"4838",2411620,"Female","Entire","Jack Russell Terrier","Disorder not diagnsosed","Euthanasia",2008-08-06,2016-04-04
"4840",11609475,"Male","Neutered","Staffordshire Bull Terrier","Neoplasia","Euthanasia",2010-11-10,2018-07-08
"4843",2512692,"Male","Entire","English Bull Terrier","Thin","Euthanasia",2007-06-04,2015-01-02
"4844",11601425,"Female","Neutered","Mastiff","Disorder not diagnsosed","Unassisted",2010-08-03,2018-03-01
"4845",3319610,"Female","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2009-05-06,2017-02-04
"4852",1953263,"Female","Neutered","Labrador Retriever","Appetite disoder","Euthanasia",2009-09-02,2016-09-12
"4855",2877737,"Male","Neutered","Staffordshire Bull Terrier","Disorder not diagnsosed","Unrecorded",2008-11-07,2016-10-05
"4856",1909014,"Male","Neutered","Crossbreed","Kidney disease","Euthanasia",2008-01-06,2016-01-04
"4859",12359189,"Female","Neutered","Staffordshire Bull Terrier","Disorder not diagnsosed","Unassisted",2008-01-05,2016-02-03
"4861",11452175,"Male","Entire","Whippet","Musculoskeletal disorder","Euthanasia",2010-11-06,2018-12-04
"4862",2381882,"Male","Neutered","Welsh Springer Spaniel","Ear disorder","Euthanasia",2009-07-12,2017-08-10
"4863",11386628,"Male","Entire","Staffordshire Bull Terrier","Haematopoietic disorder","Euthanasia",2008-08-05,2016-10-03
"4867",11741296,"Male","Entire","German Shepherd Dog","Heart disease","Unassisted",2008-02-08,2016-04-06
"4868",2423406,"Male","Neutered","Bulldog","Disorder not diagnsosed","Unassisted",2008-02-11,2016-04-09
"4870",2486894,"Male","Entire","Standard Doberman Pinscher","Disorder not diagnsosed","Unrecorded",2009-02-10,2017-04-08
"4875",3898842,"Male","Entire","Boxer","Neoplasia","Euthanasia",2008-01-07,2016-04-05
"4876",11426703,"Female","Neutered","English Springer Spaniel","Neoplasia","Euthanasia",2009-08-12,2017-11-10
"4878",11603096,"Female","Neutered","Toy Poodle","Disorder not diagnsosed","Euthanasia",2010-01-05,2018-05-03
"4882",11877000,"Male","Neutered","Cavalier King Charles Spaniel","Disorder not diagnsosed","Unassisted",2009-01-08,2017-06-06
"4885",3556757,"Female","Neutered","Alaskan Malamute","Mass","Euthanasia",2008-02-08,2016-08-06
"4898",12375883,"Male","Neutered","Staffordshire Bull Terrier","Neoplasia","Euthanasia",2009-01-05,2017-12-03
"4934",11587666,"Female","Neutered","Cavalier King Charles Spaniel","Heart disease","Unassisted",2009-09-08,2017-04-07
"4936",11451481,"Male","Neutered","Border Terrier","Lethargy","Euthanasia",2010-09-02,2018-05-01
"4938",2305214,"Female","Neutered","English Bull Terrier","Kidney disease","Euthanasia",2009-09-10,2017-04-09
"4947",3326095,"Male","Entire","Crossbreed","Musculoskeletal disorder","Euthanasia",2009-11-06,2017-10-05
"4950",2544523,"Male","Neutered","Bull Mastiff","Spinal cord disorder","Euthanasia",2008-04-10,2016-03-09
"4953",12142564,"Male","Entire","Staffordshire Bull Terrier","Spinal cord disorder","Euthanasia",2008-12-05,2016-12-04
"4954",2260096,"Male","Neutered","Labrador Retriever","Neoplasia","Euthanasia",2008-04-06,2016-05-05
"4955",11870901,"Female","Entire","Yorkshire Terrier","Kidney disease","Euthanasia",2008-11-11,2016-12-10
"4959",3457300,"Female","Entire","Standard Doberman Pinscher","Lower respiratory tract disorder","Euthanasia",2008-02-11,2016-05-10
"4963",12365925,"Male","Neutered","West Highland White Terrier","Neoplasia","Euthanasia",2010-05-09,2018-09-08
"4964",11533438,"Male","Entire","Long-Haired Chihuahua","Neurological disorder","Euthanasia",2008-02-07,2016-06-06
"4965",12195438,"Female","Neutered","Toy Poodle","Brain disorder","Euthanasia",2008-01-05,2016-05-04
"4968",3344654,"Female","Entire","German Shepherd Dog","Skin disorder","Euthanasia",2009-01-07,2017-05-06
"4971",11711673,"Male","Entire","Cavalier King Charles Spaniel","Poor quality of life","Euthanasia",2009-01-04,2017-07-03
"4973",2994678,"Female","Entire","Pug","Female reproductive disorder","Euthanasia",2012-03-01,2019-09-12
"4977",12363625,"Female","Neutered","Border Collie","Behaviour disorder","Euthanasia",2010-01-01,2017-08-12
"4978",2538282,"Male","Entire","Crossbreed","Brain disorder","Euthanasia",2008-04-07,2016-10-06
"4981",11883345,"Male","Neutered","Standard Doberman Pinscher","Disorder not diagnsosed","Unassisted",2010-01-04,2018-09-03
"4983",2260107,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Unassisted",2008-04-06,2016-12-05
"4984",3790193,"Male","Entire","Labrador Retriever","Neoplasia","Euthanasia",2010-01-06,2018-09-05
"4987",3557681,"Male","Entire","German Shepherd Dog","Musculoskeletal disorder","Euthanasia",2009-04-03,2017-10-02
"4997",3284148,"Male","Entire","Irish Wolfhound","Poor quality of life","Euthanasia",2008-01-03,2016-11-02
"4998",3540952,"Male","Neutered","Greyhound","Collapsed","Euthanasia",2008-02-03,2016-12-02
"5049",11640620,"Male","Neutered","Lhasa Apso","Lower respiratory tract disorder","Euthanasia",2009-07-05,2017-03-05
"5053",11637071,"Female","Entire","Bulldog","Enteropathy","Euthanasia",2007-12-07,2015-09-07
"5055",1937250,"Female","Neutered","Jack Russell Terrier","Collapsed","Euthanasia",2009-05-08,2017-03-08
"5060",1528180,"Female","Neutered","Staffordshire Bull Terrier","Collapsed","Euthanasia",2008-03-11,2016-02-11
"5061",2637897,"Male","Neutered","Boxer","Thin","Euthanasia",2008-02-03,2016-01-03
"5064",12332426,"Female","Entire","Jack Russell Terrier","Disorder not diagnsosed","Unrecorded",2008-08-04,2016-07-04
"5068",11545426,"Female","Neutered","Crossbreed","Lethargy","Euthanasia",2008-10-10,2016-09-10
"5070",7017728,"Male","Entire","Labrador Retriever","Disorder not diagnsosed","Euthanasia",2008-08-10,2016-07-10
"5073",11869322,"Male","Entire","American Bulldog","Mass","Euthanasia",2008-05-09,2016-04-09
"5074",11582109,"Male","Neutered","American Pit Bull Terrier","Disorder not diagnsosed","Unassisted",2008-11-04,2016-10-04
"5076",6852284,"Male","Entire","Chihuahua","Disorder not diagnsosed","Euthanasia",2008-04-08,2016-03-08
"5078",6864767,"Female","Entire","Crossbreed","Lower respiratory tract disorder","Euthanasia",2008-10-08,2016-09-08
"5082",12196466,"Male","Entire","English Setter","Disorder not diagnsosed","Euthanasia",2008-06-10,2016-05-10
"5085",3824518,"Female","Entire","Great Dane","Disorder not diagnsosed","Unassisted",2008-02-04,2016-01-04
"5086",6750104,"Female","Entire","Japanese Inu Akita","Female reproductive disorder","Euthanasia",2008-08-07,2016-07-07
"5087",3951444,"Female","Entire","Labrador Retriever","Brain disorder","Euthanasia",2008-02-06,2016-01-06
"5090",3884145,"Male","Entire","Siberian Husky","Peripheral nervous system disorder","Euthanasia",2008-06-05,2016-05-05
"5092",6852287,"Female","Entire","Staffordshire Bull Terrier","Mass","Euthanasia",2008-04-08,2016-03-08
"5096",6930246,"Male","Entire","Yorkshire Terrier","Disorder not diagnsosed","Unrecorded",2008-10-09,2016-09-09
"5097",3563719,"Male","Entire","Jack Russell Terrier","Disorder not diagnsosed","Euthanasia",2008-11-03,2016-11-03
"5099",11430704,"Male","Neutered","Golden Retriever","Neoplasia","Unassisted",2009-01-11,2017-01-11
"5101",3540946,"Female","Neutered","Alaskan Malamute","Female reproductive disorder","Euthanasia",2008-12-02,2016-12-02
"5104",12363857,"Male","Neutered","Bull Mastiff","Foreign body","Euthanasia",2008-01-02,2016-01-02
"5107",7741543,"Female","Neutered","Crossbreed","Oral cavity disorder","Unassisted",2008-09-12,2016-09-12
"5108",11634667,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2008-06-12,2016-06-12
"5109",7741009,"Female","Entire","Crossbreed","Lower respiratory tract disorder","Euthanasia",2008-09-11,2016-09-11
"5114",11705839,"Male","Entire","Crossbreed","Disorder not diagnsosed","Unrecorded",2008-10-02,2016-10-02
"5115",12194974,"Male","Entire","Crossbreed","Behaviour disorder","Euthanasia",2008-03-02,2016-03-02
"5117",3513359,"Male","Entire","Crossbreed","Heart disease","Euthanasia",2008-08-01,2016-08-01
"5122",11823973,"Female","Neutered","German Shepherd Dog","Disorder not diagnsosed","Unassisted",2008-06-11,2016-06-11
"5123",11916697,"Male","Neutered","Greyhound","Disorder not diagnsosed","Unassisted",2008-09-01,2016-09-01
"5124",3535608,"Male","Neutered","Jack Russell Terrier","Behaviour disorder","Euthanasia",2008-06-02,2016-06-02
"5127",3515859,"Female","Neutered","Labrador Retriever","Thin","Euthanasia",2008-12-01,2016-12-01
"5131",7741498,"Female","Neutered","Short-Haired Chihuahua","Disorder not diagnsosed","Euthanasia",2008-06-12,2016-06-12
"5132",7122752,"Female","Neutered","Staffordshire Bull Terrier","Behaviour disorder","Euthanasia",2008-09-12,2016-09-12
"5143",11580380,"Male","Entire","Labrador Retriever","Musculoskeletal disorder","Euthanasia",2008-11-10,2016-11-10
"5144",3958897,"Male","Entire","Staffordshire Bull Terrier","Brain disorder","Euthanasia",2008-07-06,2016-07-06
"5147",7741434,"Male","Neutered","Labrador Retriever","Mass","Euthanasia",2008-02-12,2016-03-12
"5152",7086015,"Male","Entire","Lhasa Apso","Behaviour disorder","Euthanasia",2008-08-11,2016-09-11
"5157",3950374,"Female","Entire","German Shepherd Dog","Haematopoietic disorder","Euthanasia",2008-02-06,2016-03-06
"5158",12420123,"Male","Neutered","Scottish Rough Collie","Brain disorder","Euthanasia",2008-01-05,2016-02-05
"5160",11579543,"Female","Entire","Crossbreed","Lethargy","Euthanasia",2008-02-01,2016-04-01
"5161",11824989,"Female","Entire","Bulldog","Urinary system disorder","Euthanasia",2008-10-12,2016-12-12
"5162",7076980,"Male","Neutered","Jack Russell Terrier","Behaviour disorder","Euthanasia",2008-01-11,2016-03-11
"5163",7076999,"Male","Neutered","Jack Russell Terrier","Behaviour disorder","Euthanasia",2008-01-11,2016-03-11
"5164",12413189,"Male","Entire","German Shepherd Dog","Collapsed","Euthanasia",2008-05-09,2016-07-09
"5170",11743728,"Male","Neutered","Greyhound","Intoxication","Euthanasia",2008-06-11,2016-09-11
"5172",1634255,"Male","Entire","Staffordshire Bull Terrier","Behaviour disorder","Euthanasia",2008-07-02,2016-10-02
"5178",7127029,"Female","Entire","Staffordshire Bull Terrier","Kidney disease","Euthanasia",2008-07-12,2016-11-12
"5179",7083034,"Male","Entire","Staffordshire Bull Terrier","Neoplasia","Euthanasia",2008-05-11,2016-09-11
"5187",3509347,"Male","Neutered","Staffordshire Bull Terrier","Behaviour disorder","Euthanasia",2008-05-01,2016-11-01
"5190",1634248,"Male","Entire","Standard Doberman Pinscher","Enteropathy","Euthanasia",2008-01-02,2016-07-02
"5193",6726462,"Female","Entire","Bull Mastiff","Neoplasia","Euthanasia",2008-06-07,2016-12-07
"5195",6846881,"Male","Neutered","Border Collie","Poor quality of life","Euthanasia",2008-02-08,2016-08-08
"5197",12141283,"Male","Neutered","Staffordshire Bull Terrier","Neoplasia","Euthanasia",2008-01-02,2016-08-02
"5200",11769304,"Male","Neutered","Flat Coated Retriever","Abdominal disease","Euthanasia",2010-01-08,2018-08-08
"5220",12375425,"Male","Neutered","Jack Russell Terrier","Kidney disease","Euthanasia",2009-01-05,2017-12-05
"5265",1562456,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2009-10-06,2017-02-07
"5268",6755862,"Male","Entire","Rottweiler","Disorder not diagnsosed","Euthanasia",2008-11-07,2016-02-08
"5270",7741571,"Male","Entire","Staffordshire Bull Terrier","Thin","Unassisted",2008-12-12,2017-04-01
"5278",1231567,"Female","Neutered","Crossbreed","Neoplasia","Euthanasia",2010-11-04,2018-04-05
"5286",2443166,"Female","Neutered","Staffordshire Bull Terrier","Neoplasia","Euthanasia",2007-10-12,2016-05-01
"5287",1668912,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Unrecorded",2008-10-03,2016-05-04
"5289",3962060,"Male","Neutered","Jack Russell Terrier","Disorder not diagnsosed","Unrecorded",2008-10-06,2016-06-07
"5293",12333141,"Male","Neutered","Bulldog","Spinal cord disorder","Euthanasia",2008-09-08,2016-05-09
"5301",11831837,"Female","Neutered","Short-Haired Chihuahua","Heart disease","Unassisted",2009-10-08,2017-07-09
"5303",3515849,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2008-12-01,2016-10-02
"5307",12149156,"Male","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",2009-03-09,2017-02-10
"5310",3977546,"Male","Entire","German Shepherd Dog","Heart disease","Unassisted",2008-08-11,2016-08-12
"5313",2886299,"Female","Neutered","Labrador Retriever","Kidney disease","Euthanasia",2009-11-01,2017-11-02
"5314",12327683,"Male","Entire","Border Collie","Disorder not diagnsosed","Unassisted",2008-01-01,2016-01-02
"5315",6929343,"Female","Neutered","Dogue de Bordeaux","Poor quality of life","Euthanasia",2008-09-09,2016-10-10
"5317",2634658,"Male","Entire","Bull Mastiff","Spinal arthropathy","Euthanasia",2008-08-01,2016-09-02
"5319",1642027,"Female","Neutered","Terrier","Poor quality of life","Euthanasia",2009-02-08,2017-04-09
"5321",3557696,"Male","Neutered","Greyhound","Traumatic injury","Euthanasia",2010-04-03,2018-06-04
"5324",11432405,"Male","Neutered","Pug","Brain disorder","Euthanasia",2008-05-09,2016-09-10
"5325",3821393,"Male","Neutered","Beagle","Neoplasia","Euthanasia",2008-01-04,2016-05-05
"5328",12327856,"Male","Neutered","Golden Retriever","Lower respiratory tract disorder","Euthanasia",2008-01-11,2016-06-12
"5331",2965326,"Female","Entire","Rottweiler","Mass","Euthanasia",2008-03-07,2016-07-08
"5399",11540495,"Male","Neutered","Bichon Frise","Haematopoietic disorder","Euthanasia",2008-10-07,2016-03-09
"5408",3466589,"Male","Neutered","Chinese Shar-Pei","Disorder not diagnsosed","Euthanasia",2007-12-11,2016-09-01
"5409",12492925,"Male","Neutered","Crossbreed","Collapsed","Euthanasia",2010-04-03,2018-01-05
"5415",11590817,"Male","Neutered","Jack Russell Terrier","Traumatic injury","Unassisted",2009-12-12,2018-09-02
"5417",11624545,"Male","Entire","Cavalier King Charles Spaniel","Lower respiratory tract disorder","Euthanasia",2008-03-04,2016-01-06
"5419",1011837,"Male","Entire","Labrador Retriever","Spinal arthropathy","Euthanasia",2009-03-08,2017-01-10
"5426",6863727,"Female","Entire","Patterdale Terrier","Lethargy","Euthanasia",2008-10-08,2016-10-10
"5427",11418883,"Female","Neutered","Boxer","Haematopoietic disorder","Euthanasia",2008-05-03,2016-05-05
"5428",3949240,"Male","Entire","Cavalier King Charles Spaniel","Heart disease","Euthanasia",2009-01-06,2017-01-08
"5430",12333477,"Male","Entire","Bull Mastiff","Urinary system disorder","Euthanasia",2008-01-10,2016-02-12
"5432",3803252,"Male","Neutered","Lakeland Terrier","Lethargy","Euthanasia",2008-01-04,2016-02-06
"5435",2385717,"Female","Entire","Labrador Retriever","Heart disease","Euthanasia",2010-07-02,2018-11-04
"5436",12371640,"Female","Entire","Staffordshire Bull Terrier","Endocrine system disorder","Unrecorded",2008-07-09,2016-11-11
"5437",11987397,"Female","Neutered","Jack Russell Terrier","Behaviour disorder","Euthanasia",2010-01-05,2018-04-07
"5442",2538243,"Male","Neutered","Miniature Schnauzer","Disorder not diagnsosed","Unassisted",2008-02-07,2016-05-09
"5444",11705750,"Male","Neutered","English Springer Spaniel","Immune mediated disease","Euthanasia",2008-02-11,2017-07-01
"5446",1299471,"Female","Neutered","Bulldog","Neoplasia","Euthanasia",2009-04-07,2017-08-09
"5453",11730980,"Male","Neutered","Shih-tzu","Lower respiratory tract disorder","Euthanasia",2010-01-05,2018-08-07
"5455",11567909,"Male","Neutered","Labrador Retriever","Neoplasia","Euthanasia",2010-01-05,2018-08-07
"5459",11459324,"Male","Neutered","Rottweiler","Mass","Euthanasia",2008-01-11,2017-09-01
"5461",3201740,"Female","Neutered","Bichon Frise","Poor quality of life","Euthanasia",2010-01-01,2018-12-03
"5465",2381425,"Male","Entire","Golden Retriever","Kidney disease","Euthanasia",2009-01-12,2018-09-02
"5467",7364758,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2010-01-04,2018-10-06
"5509",11535215,"Male","Entire","Dogue de Bordeaux","Neoplasia","Euthanasia",2008-12-05,2016-02-08
"5516",2611016,"Female","Neutered","Crossbreed","Kidney disease","Euthanasia",2011-11-03,2019-02-06
"5535",3432830,"Female","Entire","West Highland White Terrier","Kidney disease","Euthanasia",2009-11-06,2017-07-09
"5536",2670285,"Male","Neutered","French Bulldog","Neoplasia","Euthanasia",2009-08-07,2017-04-10
"5537",1921869,"Female","Entire","Bichon Frise","Disorder not diagnsosed","Unassisted",2009-08-01,2017-07-04
"5538",2281344,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2009-06-05,2017-03-08
"5539",3828548,"Female","Neutered","Dogue de Bordeaux","Brain disorder","Euthanasia",2008-05-04,2016-03-07
"5540",1118087,"Female","Neutered","Cavalier King Charles Spaniel","Heart disease","Euthanasia",2009-04-08,2017-02-11
"5542",3550283,"Male","Neutered","Rottweiler","Neoplasia","Euthanasia",2009-09-02,2017-10-05
"5543",6751032,"Male","Neutered","Jack Russell Terrier","Behaviour disorder","Euthanasia",2008-08-04,2016-07-07
"5545",1501800,"Female","Neutered","Rottweiler","Collapsed","Euthanasia",2009-09-10,2018-08-01
"5546",3353253,"Male","Entire","West Highland White Terrier","Spinal arthropathy","Euthanasia",2008-10-07,2016-09-10
"5547",2459125,"Female","Neutered","Golden Retriever","Neoplasia","Euthanasia",2009-06-01,2017-07-04
"5549",11398255,"Male","Neutered","Cavalier King Charles Spaniel","Heart disease","Unassisted",2009-07-12,2018-09-03
"5551",11381129,"Male","Neutered","Crossbreed","Mass","Euthanasia",2010-12-05,2018-12-08
"5552",2656689,"Female","Neutered","Crossbreed","Appetite disoder","Euthanasia",2008-09-12,2017-12-03
"5561",2402216,"Male","Entire","Labrador Retriever","Appetite disoder","Euthanasia",2007-02-10,2016-06-01
"5563",2980745,"Female","Entire","Boxer","Female reproductive disorder","Euthanasia",2009-04-06,2017-08-09
"5564",1946212,"Female","Entire","Cocker Spaniel","Neoplasia","Euthanasia",2008-01-10,2017-06-01
"5567",3916156,"Female","Entire","German Shepherd Dog","Collapsed","Euthanasia",2008-06-05,2016-11-08
"5574",11821179,"Male","Entire","Labrador Retriever","Behaviour disorder","Euthanasia",2008-01-08,2016-08-11
"5577",2975896,"Female","Entire","Bull Mastiff","Musculoskeletal disorder","Euthanasia",2008-03-07,2016-10-10
"5590",11473313,"Female","Entire","Standard Doberman Pinscher","Complication associated with clinical care","Unassisted",2010-01-05,2018-11-08
"5591",3246664,"Female","Neutered","Labrador Retriever","Musculoskeletal disorder","Euthanasia",2008-02-03,2016-12-06
"5645",12378066,"Male","Neutered","Long-Haired Chihuahua","Spinal cord disorder","Euthanasia",2009-12-12,2018-07-04
"5646",2988400,"Male","Neutered","Springer Spaniel - Unspecified","Disorder not diagnsosed","Unassisted",2009-08-02,2017-04-06
"5649",11413346,"Female","Entire","Bulldog","Disorder not diagnsosed","Unassisted",2008-06-01,2016-02-05
"5660",1923916,"Male","Neutered","Bull Mastiff","Behaviour disorder","Euthanasia",2009-11-02,2017-11-06
"5661",12393962,"Female","Neutered","Cocker Spaniel","Kidney disease","Euthanasia",2009-01-11,2018-02-03
"5662",11403525,"Female","Neutered","Jack Russell Terrier","Ophthalmological disorder","Euthanasia",2009-09-10,2018-07-02
"5669",11622330,"Female","Neutered","Crossbreed","Enteropathy","Euthanasia",2008-03-02,2016-05-06
"5670",11709099,"Female","Entire","Bulldog","Disorder not diagnsosed","Euthanasia",2008-01-05,2016-01-09
"5672",11391028,"Female","Neutered","German Shepherd Dog","Disorder not diagnsosed","Euthanasia",2007-07-07,2015-08-11
"5675",12142918,"Male","Neutered","Shetland Sheepdog","Neoplasia","Euthanasia",2008-09-06,2016-12-10
"5688",1448450,"Male","Neutered","Springer Spaniel - Unspecified","Disorder not diagnsosed","Unassisted",2007-04-11,2016-11-03
"5711",11395732,"Male","Entire","Border Collie","Lower respiratory tract disorder","Euthanasia",2008-01-06,2016-12-10
"5745",6756985,"Female","Neutered","West Highland White Terrier","Liver disorder","Euthanasia",2008-12-07,2016-01-12
"5753",11563591,"Female","Neutered","Staffordshire Bull Terrier","Liver disorder","Euthanasia",2010-11-01,2018-03-06
"5755",3514513,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2009-11-03,2017-02-08
"5763",11561993,"Female","Neutered","Cavalier King Charles Spaniel","Disorder not diagnsosed","Euthanasia",2009-10-11,2018-06-04
"5768",3535605,"Female","Entire","Crossbreed","Endocrine system disorder","Euthanasia",2008-06-02,2016-03-07
"5771",7079912,"Female","Entire","British Bulldog","Female reproductive disorder","Euthanasia",2008-03-11,2017-01-04
"5773",1356327,"Female","Neutered","Crossbreed","Mass","Euthanasia",2009-09-08,2018-06-01
"5781",11414521,"Male","Neutered","Whippet","Mass","Euthanasia",2008-08-04,2016-07-09
"5783",7018704,"Male","Entire","Cavalier King Charles Spaniel","Disorder not diagnsosed","Unassisted",2008-10-10,2017-12-03
"5784",11577291,"Male","Entire","English Springer Spaniel","Disorder not diagnsosed","Euthanasia",2008-09-06,2016-09-11
"5785",12414048,"Male","Neutered","Standard Doberman Pinscher","Haematopoietic disorder","Euthanasia",2009-03-02,2017-06-07
"5786",11414075,"Male","Neutered","Crossbreed","Lower respiratory tract disorder","Euthanasia",2008-01-03,2016-01-08
"5789",3778327,"Male","Entire","Toy Poodle","Mass","Euthanasia",2009-03-06,2017-04-11
"5790",2291800,"Female","Entire","King Charles Spaniel","Brain disorder","Euthanasia",2009-10-05,2017-11-10
"5801",3817956,"Male","Entire","Lurcher","Collapsed","Euthanasia",2008-01-08,2017-05-01
"5812",12411314,"Male","Neutered","Great Dane","Disorder not diagnsosed","Euthanasia",2007-01-12,2016-09-05
"5816",11984530,"Male","Neutered","Rottweiler","Neoplasia","Euthanasia",2008-01-01,2016-10-06
"5825",11458985,"Female","Entire","Border Collie","Brain disorder","Euthanasia",2008-01-08,2017-12-01
"5883",11576146,"Male","Entire","Cavalier King Charles Spaniel","Disorder not diagnsosed","Euthanasia",2008-12-04,2016-04-10
"5886",2959113,"Male","Entire","English Mastiff","Enteropathy","Euthanasia",2008-10-03,2016-01-09
"5887",11717548,"Female","Neutered","Newfoundland","Collapsed","Euthanasia",2008-10-11,2017-04-05
"5889",11586014,"Male","Neutered","Labrador Retriever","Abdominal disease","Euthanasia",2009-10-06,2017-03-12
"5900",12145662,"Male","Neutered","Cocker Spaniel","Enteropathy","Euthanasia",2009-05-01,2017-04-07
"5901",1114749,"Female","Entire","Crossbreed","Collapsed","Euthanasia",2009-07-01,2017-06-07
"5902",12194414,"Female","Entire","Standard Doberman Pinscher","Shock","Unassisted",2007-10-10,2016-07-04
"5905",11865401,"Male","Neutered","West Highland White Terrier","Poor quality of life","Euthanasia",2008-04-04,2016-02-10
"5910",3839107,"Male","Entire","Short-Haired Chihuahua","Mass","Euthanasia",2008-01-09,2017-03-03
"5911",7739983,"Female","Entire","Springer Spaniel - Unspecified","Brain disorder","Unassisted",2008-10-06,2016-10-12
"5912",12009202,"Female","Neutered","King Charles Spaniel","Lower respiratory tract disorder","Euthanasia",2009-06-01,2017-08-07
"5913",1474388,"Female","Entire","Crossbreed","Abdominal disease","Unassisted",2007-09-12,2016-09-06
"5914",3825534,"Male","Neutered","Jack Russell Terrier","Behaviour disorder","Euthanasia",2008-02-04,2016-02-10
"5915",11642251,"Male","Neutered","Border Collie","Behaviour disorder","Euthanasia",2007-11-12,2016-11-06
"5916",2451468,"Female","Neutered","Jack Russell Terrier","Neoplasia","Euthanasia",2008-09-05,2016-09-11
"5917",958728,"Female","Neutered","Staffordshire Bull Terrier","Mass","Euthanasia",2008-12-08,2017-12-02
"5919",12434145,"Female","Neutered","Pug","Neoplasia","Euthanasia",2008-05-03,2016-05-09
"5922",3926103,"Male","Neutered","Rhodesian Ridgeback","Spinal cord disorder","Euthanasia",2008-06-01,2016-08-07
"5925",3102567,"Male","Neutered","Labrador Retriever","Mass","Euthanasia",2009-01-09,2018-05-03
"5926",12351995,"Female","Neutered","","Spinal arthropathy","Euthanasia",2007-01-07,2016-02-01
"5927",2814580,"Male","Neutered","Bichon Frise","Kidney disease","Euthanasia",2008-05-11,2017-09-05
"5930",1602043,"Male","Entire","Dogue de Bordeaux","Heart disease","Euthanasia",2007-01-11,2016-04-05
"5931",1920022,"Female","Neutered","Japanese Inu Akita","Disorder not diagnsosed","Euthanasia",2008-01-12,2017-04-06
"5932",11649752,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Unrecorded",2008-08-07,2017-10-01
"5938",11827689,"Female","Neutered","Crossbreed","Neoplasia","Euthanasia",2009-01-04,2017-05-10
"5946",1238023,"Female","Neutered","Greyhound","Kidney disease","Euthanasia",2009-03-06,2017-09-12
"5949",11837942,"Male","Entire","Staffordshire Bull Terrier","Enteropathy","Euthanasia",2010-01-02,2018-09-08
"5952",6969494,"Male","Neutered","Staffordshire Bull Terrier","Disorder not diagnsosed","Unassisted",2007-04-08,2016-11-02
"5958",11829539,"Male","Entire","Bull Mastiff","Neoplasia","Euthanasia",2009-01-06,2017-10-12
"5963",2669605,"Female","Neutered","Yorkshire Terrier","Brain disorder","Euthanasia",2009-02-07,2018-11-01
"5966",1949903,"Female","Neutered","Yorkshire Terrier","Enteropathy","Euthanasia",2008-01-12,2017-12-06
"6005",11589566,"Female","Entire","Dogue de Bordeaux","Neoplasia","Euthanasia",2009-10-01,2017-01-08
"6010",6725398,"Female","Neutered","Greyhound","Spinal cord disorder","Euthanasia",2008-11-02,2016-02-09
"6022",11382377,"Female","Neutered","Dogue de Bordeaux","Endocrine system disorder","Euthanasia",2009-11-05,2017-04-12
"6025",974728,"Male","Entire","Staffordshire Bull Terrier","Disorder not diagnsosed","Unrecorded",2011-09-02,2019-04-09
"6029",11547447,"Male","Neutered","Bulldog","Disorder not diagnsosed","Euthanasia",2009-07-01,2017-03-08
"6031",11632461,"Male","Neutered","Staffordshire Bull Terrier","Skin disorder","Euthanasia",2008-07-10,2017-04-05
"6036",2152299,"Male","Neutered","Cavalier King Charles Spaniel","Disorder not diagnsosed","Unassisted",2007-10-10,2016-07-05
"6038",2408906,"Female","Entire","German Shepherd Dog","Immune mediated disease","Euthanasia",2008-05-05,2016-02-12
"6040",6969649,"Female","Neutered","Greyhound","Neoplasia","Euthanasia",2007-10-10,2016-08-05
"6045",1893521,"Male","Neutered","Whippet","Pancreatic disorder","Euthanasia",2007-12-09,2016-11-04
"6046",1533579,"Male","Entire","Crossbreed","Disorder not diagnsosed","Unassisted",2008-08-11,2017-08-06
"6047",11991344,"Male","Neutered","German Shepherd Dog","Abdominal disease","Euthanasia",2008-11-10,2017-11-05
